no,Folder(NamePlant)
295,Aniselytron_treutleri
296,Anisomeles_indica
297,Anisophyllea_penninervata
298,Anisoptera_scaphula
299,Anneslea_dongnaiensis
300,Anneslea_paradoxa
301,Annona_muricata
302,Annona_squamosa
303,Anodendron_howii
304,Anoectochilus_calcareus
305,Anoectochilus_daoensis
306,Anoectochilus_lanceolatus
307,Anoectochilus_papillosus
308,Anoectochilus_setaceus
309,Anoectochilus_sikkimensis
310,Anogeisus_acuminata
311,Anomianthus_dulcis
312,Antheroporum_harmandii
313,Anthogonium_gracile
314,Anthurium_dentatum
315,Anthurium_scherzerianum
316,Antidesma_acidum
317,Antidesma_annamense
318,Antidesma_balansae
319,Antidesma_cochinchinense
320,Antidesma_eberhardtii
321,Antidesma_fruticosum
322,Antidesma_japonicum
323,Antidesma_montanum
324,Antidesma_poilanei
325,Antidesma_tonkinense
326,Antidesma_velutinum
327,Antigonon_leptopus
328,Antirrhinum_orontium
329,Antrophyum_callifolium
330,Antrophyum_obovatum
331,Aphananthe_aspera
332,Aphananthe_lissophylla
333,Aphyllorchis_annamensis
334,Aphyllorchis_montana
335,Apium_graveolens
336,Apocopis_cochinchinensis
337,Apocopis_courtallumensis
338,Apodytes_cambodiana
339,Aponogeton_lakhoensis
340,Aponogeton_robinsonii
341,Aporosa_ficifolia
342,Aporosa_oblonga
343,Aporosa_serrata
344,Aporosa_tetragona
345,Aporosa_villosa
346,Aporosa_yunnanensis
347,Apostasia_odorata
348,Appendicula_cornuta
349,Appendicula_hexadra
350,Apphyllorchis_pallida
351,Aquilaria_banaensae
352,Aquilaria_malaccensis
353,Aquilegia_vulgaris
354,Arachnis_annamensis
355,Arachnis_hookeriana
356,Arachnis_maingayi
357,Aralia_armata
358,Aralia_chinensis
359,Aralia_dasyphylla
360,Aralia_foliolosa
361,Aralia_searelliana
362,Aralia_thomsonii
363,Aralia_vietnamensis
364,Araucaria_columnaris
365,Arcangelisia_flava
366,Archiboehmeria_atrata
367,Archidendron_bauchei
368,Archidendron_clypearia
369,Archidendron_kerrii
370,Archidendron_occultatum
371,Archidendron_poilanei
372,Archidendron_robinsonii
373,Archidendron_tonkinensis
374,Archidendron_utile
375,Ardisia_aciphylla
376,Ardisia_arborescens
377,Ardisia_brevicaulis
378,Ardisia_cambodiana
379,Ardisia_caudata
380,Ardisia_colorata
381,Ardisia_corymbifera
382,Ardisia_crassipes
383,Ardisia_crispa
384,Ardisia_elegans
385,Ardisia_gigantifolia
386,Ardisia_hanceana
387,Ardisia_helferiana
388,Ardisia_incrassata
389,Ardisia_ixoraefolia
390,Ardisia_lindleyana
391,Ardisia_maculosa
392,Ardisia_melastomoides
393,Ardisia_microcarpa
394,Ardisia_myrsinoides
395,Ardisia_nigropilosa
396,Ardisia_poilanae
397,Ardisia_pseudo-crispa
398,Ardisia_punctata
399,Ardisia_recliniflora
400,Ardisia_rigida
401,Ardisia_solanacea
402,Ardisia_tsangii
403,Ardisia_verbascifolia
404,Ardisia_villosa
405,Ardisia_virens
406,Areca_catechu
407,Areca_triandra
408,Arenga_pinnata
409,Argostemma_verticillatum
410,Argyreia_acuta
411,Argyreia_nervosa
412,Argyreia_obtusifolia
413,Argyreia_pierreana
414,Arisaema_averyanovii
415,Arisaema_chauvanminhii
416,Arisaema_condaoensis
417,Arisaema_erubescens
418,Arisaema_garrettii
419,Arisaema_parisfolia
420,Arisaema_petiolulatum
421,Arisaema_pingbianense
422,Arisaema_rhizomatum
423,Arisaema_rostratum
424,Arisaema_victoriae
425,Aristida_balansae
426,Aristida_chinensis
427,Aristolochia_annamensis
428,Aristolochia_bidoupensis
429,Aristolochia_contorta
430,Aristolochia_elegans
431,Aristolochia_heterophylla
432,Aristolochia_kaempferi
433,Aristolochia_longgangensis
434,Aristolochia_nuichuaensis
435,Aristolochia_pothieri
436,Aristolochia_saccata
437,Aristolochia_tagala
438,Aristolochia_tuberosa
439,Artabotrys_aeneus
440,Artabotrys_harmandii
441,Artabotrys_hienianus
442,Artabotrys_intermedius
443,Artabotrys_petelotii
444,Artabotrys_spinosus
445,Artabotrys_tetramerus
446,Artabotrys_vinhensis
447,Artemisia_absinthium
448,Artemisia_apiacea
449,Artemisia_capillaris
450,Artemisia_dracunculus
451,Artemisia_indica
452,Artemisia_lactiflora
453,Artemisia_palustris
454,Artemisia_scoparia
455,Arthraxon_castratus
456,Arthraxon_lanceolatus
457,Arthrocnemum_indicum
458,Arthromeris_lehmannii
459,Arthromeris_wallichiana
460,Arthrophyllum_javanicum
461,Artocarpus_altilis
462,Artocarpus_heterophyllus
463,Artocarpus_lakoocha
464,Artocarpus_nitidus
465,Artocarpus_petelotii
466,Artocarpus_styracifolius
467,Arundina_caespitosa
468,Arundina_graminifolia
469,Arundinella_birmanica
470,Arundinella_flavida
471,Arundinella_nepalensis
472,Arundinella_setosa
473,Arytera_littoralis
474,Asarum_blumei
475,Asarum_cordifolium
476,Asarum_maximum
477,Asarum_reticulatum
478,Asarum_yunnanense
479,Ascocentrum_ampullaceum
480,Ascocentrum_curvifolium
481,Ascocentrum_rubrum
482,Asparagus_filìinus
483,Asparagus_officinalis
484,Asparagus_setaceus
485,Aspidistra_cadamensis
486,Aspidistra_coccigera
487,Aspidistra_cylindrica
488,Aspidistra_globosa
489,Aspidistra_obtusata
490,Aspidistra_subrotata
491,Aspidistra_tonkinensis
492,Aspidistra_truongii
493,Aspidistra_verruculosa
494,Aspidistra_xuansonensis
495,Aspidopterys_tomentosa
496,Asplenium_antrophyoides
497,Asplenium_cheilosorum
498,Asplenium_colaniae
499,Asplenium_crinicaule
500,Asplenium_ensiforme
501,Asplenium_exiguum
502,Asplenium_fraxinifolium
503,Asplenium_griffithianum
504,Asplenium_humbertii
505,Asplenium_laciniatum
506,Asplenium_longissimum
507,Asplenium_neolaserpitiifolium
508,Asplenium_nitidum
509,Asplenium_oldhami
510,Asplenium_praemorsum
511,Asplenium_protratum
512,Asplenium_pulcherrimum
513,Asplenium_saxicola
514,Asplenium_sublaserpitiifolium
515,Asplenium_tenuifolium
516,Asplenium_unilaterale
517,Asplenium_wrightii
518,Aster_ageratoides
519,Aster_amellus
520,Aster_trinervius
521,Astilbe_rivularis
522,Astragalus_sinicus
523,Asystasia_chelonoides
524,Asystasiella_chinensis
525,Atalantia_ceylanica
526,Atalantia_monophylla
527,Atalantia_sessiliflora
528,Atratylodes_lancea
529,Atrichodendron_tonkinense
530,Attalea_macrocarpa
531,Averrhoa_bilimbi
532,Avicennia_alba
533,Avicennia_officinalis
534,Axonopus_compressus
535,Azadirachta_indica
536,Azolla_pinnata
537,Baccaurea_sylvestris
538,Bacopa_monnieri
539,Balanites_Roxburghii
540,Balanophora_cucphuongensis
541,Balanophora_fungosa
542,Balanophora_indica
543,Baliospermum_montanum
544,Bambusa_aurinuda
545,Bambusa_bambos
546,Bambusa_blumeana
547,Bambusa_dissimulator
548,Bambusa_flexuosa
549,Bambusa_glaucescens
550,Bambusa_lineata
551,Bambusa_multiplex
552,Bambusa_pallida
553,Bambusa_procera
554,Bambusa_textilis
555,Bambusa_tulda
556,Bambusa_vinhphuensis
557,Barclaya_longifolia
558,Barleria_cristata
559,Barleria_prionotis
560,Barringtonia_acutangula
561,Barringtonia_conoidea
562,Barringtonia_macrostachya
563,Barringtonia_musiformis
564,Barringtonia_racemosa
565,Barthea_barthei
566,Bauhinia_acuminata
567,Bauhinia_bracteata
568,Bauhinia_cardinalis
569,Bauhinia_clemensiorum
570,Bauhinia_corymbora
571,Bauhinia_glauca
572,Bauhinia_involucrans
573,Bauhinia_lakhonensis
574,Bauhinia_malabarica
575,Bauhinia_ornata
576,Bauhinia_penicilliloba
577,Bauhinia_pyrrhoclada
578,Bauhinia_rubro-
579,Bauhinia_saigonensis
580,Bauhinia_tomentosa
581,Bauhinia_variegata
582,Bauhinia_wallichii
583,Beaumontia_murtonii
584,Beccarinda_tonkinensis
585,Begonia_alta
586,Begonia_aptera
587,Begonia_bataiensis
588,Begonia_boisiana
589,Begonia_brevipedunculata
590,Begonia_caobangensis
591,Begonia_cavalerei
592,Begonia_circularis
593,Begonia_dianna
594,Begonia_eberhardtii
595,Begonia_grandes
596,Begonia_guttata
597,Begonia_handelii
598,Begonia_heracleifolia
599,Begonia_integrifolia
600,Begonia_langsonensis
601,Begonia_leprosa
602,Begonia_martabanica
603,Begonia_nahangensis
604,Begonia_pedatifida
605,Begonia_porteri
606,Begonia_rupicola
607,Begonia_siamensis
608,Begonia_sphenantheroides
609,Begonia_tetragona
610,Begonia_villifolia
611,Beilschmiedia_balansae
612,Beilschmiedia_chevalieri
613,Beilschmiedia_ferruginea
614,Beilschmiedia_intermedia
615,Beilschmiedia_laotica
616,Beilschmiedia_macrocarpa
617,Beilschmiedia_obovalifoliosa
618,Beilschmiedia_pergamentacea
619,Beilschmiedia_robertsonii
620,Beilschmiedia_roxburghiana
621,Beilschmiedia_sphaerocarpa
622,Beilschmiedia_tsangii
623,Beilschmiedia_vidalii
624,Beilschmiedia_yunnanensis
625,Belvisia_abbreviata
626,Belvisia_henryi
627,Benincasa_hispida
628,Berberis_julianae
629,Berchemia_floribunda
630,Bergia_ammannioides
631,Berrya_cordifolia
632,Beta_vulgaris
633,Bidens_bipinata
634,Bidens_leucorhiza
635,Bidens_tripartita
636,Biermannia_sigaldii
637,Billolivia_kyi
638,Billolivia_minutiflora
639,Billolivia_violacea
640,Biophytum_fruticosum
641,Biophytum_sensitivum
642,Bischofia_javanica
643,Blachia_andamanica
644,Blachia_jatrophifolia
645,Blachia_poilanei
646,Blainvillea_acmella
647,Blechnum_elongatum
648,Blechnum_orientale
649,Bletilla_striata
650,Blumea_adenophora
651,Blumea_balsamifera
652,Blumea_bullata
653,Blumea_chinensis
654,Blumea_densiflora
655,Blumea_fistolusa
656,Blumea_hamiltonii
657,Blumea_hieracifolia
658,Blumea_laevis
659,Blumea_martiniana
660,Blumea_membranacea
661,Blumea_napifolia
662,Blumea_repanda
663,Blumea_sessiflora
664,Blumea_tenuifolia
665,Blumea_veronicifolia
666,Blumeopsis_falcata
667,Blyxa_aubertii
668,Blyxa_japonica
669,Blyxa_octandra
670,Boea_clarkeana
671,Boea_philippensis
672,Boehmeria_holosericea
673,Boehmeria_macrophylla
674,Boehmeria_nivea
675,Boehmeria_tomentosa
676,Boeica_confertiflora
677,Boeica_porosa
678,Boesenbergia_xiphostachya
679,Bolbitis_cadieri
680,Bolbitis_heteroclita
681,Bolbitis_subcordata
682,Bombax_anceps
683,Bombax_insigne
684,Bonia_tonkiensis
685,Borassus_flabellifer
686,Bothriochloa_glabra
687,Bothriochloa_pertusa
688,Botrychium_daucifolium
689,Bouea_poilanei
690,Bougainvillea_glabra
691,Bousigonia_angustifolia
692,Bowringia_callicarpa
693,Brachiaria_distachya
694,Brachiaria_mutica
695,Brachiaria_subquadripara
696,Brachycorythis_galeandra
697,Brachypeza_laotica
698,Brainea_insignis
699,Brassaiopsis_angustifolia
700,Brassaiopsis_ficifolia
701,Brassaiopsis_glomerulata
702,Brassaiopsis_hainla
703,Brassaiopsis_mitis
704,Brassaiopsis_variabilis
705,Brassica_campestris_var._oleifera
706,Brassica_integrifolia
707,Brassica_oleracea
708,Brassica_rapa
709,Bretschneidera_sinensis
710,Breynia_baudouini
711,Breynia_disticha
712,Breynia_fleuryi
713,Breynia_glauca
714,Breynia_indochinensis
715,Breynia_rostrata
716,Breynia_subangustifolia
717,Breynia_tonkinensis
718,Bridelia_balansae
719,Bridelia_chinensis
720,Bridelia_ovata
721,Bridelia_retusa
722,Briggsia_dongxingensis
723,Bromheadia_finlaysoniana
724,Brosimum_galactodendron
725,Broussonetia_papyrifera
726,Brownea_ariza
727,Brownlowia_emarginata
728,Brucea_javanica
729,Brucea_tonkinensis
730,Bruguiera_cylindrica
731,Bruguiera_hainessii
732,Bruguiera_sexangula
733,Brunfelsia_pauciflora
734,Buchanania_glabra
735,Buchanania_lucida
736,Buchanania_siamensis
737,Buddleja_asiatica
738,Buddleja_macrostachya
739,Buddleja_paniculata
740,Bulbophyllum_ambrosia
741,Bulbophyllum_arcuatilabium
742,Bulbophyllum_atrosanguineum
743,Bulbophyllum_bariense
744,Bulbophyllum_bidoupense
745,Bulbophyllum_blepharistes
746,Bulbophyllum_bryoides
747,Bulbophyllum_careyanum
748,Bulbophyllum_catenarium
749,Bulbophyllum_clipeibulbum
750,Bulbophyllum_concinnum
751,Bulbophyllum_coweniorum
752,Bulbophyllum_crassiusculifolium
753,Bulbophyllum_dayanum
754,Bulbophyllum_ebulbum
755,Bulbophyllum_evrardii
756,Bulbophyllum_furcatum
757,Bulbophyllum_hiepii
758,Bulbophyllum_hymenathum
759,Bulbophyllum_kanburiense
760,Bulbophyllum_laxiflorum
761,Bulbophyllum_lemniscatoides
762,Bulbophyllum_longibrachiatum
763,Bulbophyllum_luanii
764,Bulbophyllum_macranthum
765,Bulbophyllum_metallica
766,Bulbophyllum_moniliforme
767,Bulbophyllum_ngoclinhensis
768,Bulbophyllum_nigripetalum
769,Bulbophyllum_orectopetalum
770,Bulbophyllum_ornatissimum
771,Bulbophyllum_paraemarginatum
772,Bulbophyllum_pecten-veneris
773,Bulbophyllum_penicillium
774,Bulbophyllum_pinicolum
775,Bulbophyllum_polliculosum
776,Bulbophyllum_psittacoglossum
777,Bulbophyllum_refractum
778,Bulbophyllum_rufinum
779,Bulbophyllum_sanitii
780,Bulbophyllum_secundum
781,Bulbophyllum_sigaldiae
782,Bulbophyllum_sinhoënse
783,Bulbophyllum_spadiciflorum
784,Bulbophyllum_striatulum
785,Bulbophyllum_subebulbum
786,Bulbophyllum_thydoii
787,Bulbophyllum_tixieri
788,Bulbophyllum_tripudians
789,Bulbophyllum_vietnamense
790,Bulbophyllum_wallichii
791,Bulbostylis_barbata
792,Bulbostylis_pubrula
793,Bumelia_harmandii
794,Burmannia_coelestis
795,Burmannia_disticha
796,Burmannia_nepalensis
797,Burmannia_pusilla
798,Burmannia_unguiculata
799,Burretiodendron_brillettii
800,Butea_monosperma
801,Buxus_cochinchinensis
802,Buxus_latistyla
803,Buxus_microphylla
804,Byttneria_aspera
805,Byttneria_erosa
806,Byttneria_tortilis
807,Caesalpinia_andamanica
808,Caesalpinia_crista
809,Caesalpinia_decapetala
810,Caesalpinia_enneaphylla
811,Caesalpinia_hymenocarpa
812,Caesalpinia_major
813,Caesalpinia_minax
814,Caesalpinia_pubescens
815,Caesalpinia_rhombifolia
816,Caesalpinia_sinensis
817,Cajanus_elongatus
818,Cajanus_lineata
819,Cajanus_scarabaeoides
820,Caladium_bicolor
821,Calamus_ceratophorus
822,Calamus_dongnaiensis
823,Calamus_flagellum
824,Calamus_modestus
825,Calamus_palustris
826,Calamus_platyacanthus
827,Calamus_radulosus
828,Calamus_rudentum
829,Calamus_tenuis
830,Calamus_thysanolepis
831,Calamus_walkeri
832,Calanthe_alismaefolia
833,Calanthe_angustifolia
834,Calanthe_cardioglossa
835,Calanthe_clavata
836,Calanthe_duyana
837,Calanthe_mannii
838,Calanthe_puberula
839,Calanthe_succedanea
840,Calanthe_triplicata
841,Calanthe_vestita
842,Calathea_allovia
843,Calbistemon_citrinus
844,Caldesia_oligococa
845,Calendula_officinalis
846,Callerya_cinerea
847,Callerya_dasyphylla
848,Callerya_fordii
849,Callerya_speciosa
850,Callicarpa_arborea
851,Callicarpa_bodinieri
852,Callicarpa_brevipes
853,Callicarpa_dichotoma
854,Callicarpa_formosana
855,Callicarpa_kochiana
856,Callicarpa_longissima
857,Callicarpa_macrophylla
858,Callicarpa_petelotii
859,Callicarpa_rubella
860,Callicarpa_sinuata
861,Callistephus_chinensis
862,Calocedrus_macrolepis
863,Calophyllum_calaba
864,Calophyllum_inophyllum
865,Calophyllum_polyanthum
866,Calopogonium_caeruleum
867,Calotis_anamitica
868,Calotropis_procera
869,Calymmodon_asiaticus
870,Calymmodon_gracilis
871,Camchaya_loloana
872,Camellia_aurea
873,Camellia_capitata
874,Camellia_caudata
875,Camellia_corallina
876,Camellia_cucphuongensis
877,Camellia_dormoyana
878,Camellia_elongata
879,Camellia_flava
880,Camellia_forrestii
881,Camellia_gaudichaudii
882,Camellia_gracilipes
883,Camellia_huulungensis
884,Camellia_indochinensis
885,Camellia_japonica
886,Camellia_kissii
887,Camellia_langbianensis
888,Camellia_ligustrina
889,Camellia_longicaudata
890,Camellia_murauchii
891,Camellia_nervosa
892,Camellia_oleifera
893,Camellia_piquetiana
894,Camellia_pubicosta
895,Camellia_rosmannii
896,Camellia_sinensis
897,Camellia_tsaii
898,Camellia_vietnamensis
899,Campsis_grandiflora
900,Campylotropis_bonii
901,Campylotropis_parviflora
902,Campylotropis_splendens
903,Cananga_odorata
904,Canarium_bengalense
905,Canarium_lyi
906,Canarium_subulatum
907,Canavalia_ensiformis
908,Canavalia_lineata
909,Canna_edulis
910,Canna_glauca
911,Canna_sylvestris
912,Canscora_andrograpioides
913,Canscora_macrocalyx
914,Cansjera_rheedii
915,Capillipedium_annamense
916,Capillipedium_laoticum
917,Capparis_annamensis
918,Capparis_beneolens
919,Capparis_erycibe
920,Capparis_floribunda
921,Capparis_grandis
922,Capparis_khuamak
923,Capparis_longestipitata
924,Capparis_micracantha
925,Capparis_pubiflora
926,Capparis_radula
927,Capparis_sepiaria
928,Capparis_sikkimensis
929,Capparis_tonkinensis
930,Capparis_versicolor
931,Capparis_zeylanica
932,Cardamine_hirsuta
933,Cardiospermum_halicacabum
934,Carex_alliiformis
935,Carex_alta
936,Carex_aphanolepis
937,Carex_atrivaginata
938,Carex_balansae
939,Carex_blinii
940,Carex_brunnea
941,Carex_cochinchinensis
942,Carex_composita
943,Carex_cryptostachys
944,Carex_daibuensis
945,Carex_drymophila
946,Carex_fedia
947,Carex_gibba
948,Carex_hanamninhensis
949,Carex_hebecarpa
950,Carex_horsfieldii
951,Carex_indica
952,Carex_insignis
953,Carex_khoii
954,Carex_kucyniakii
955,Carex_longipes
956,Carex_mitrata
957,Carex_nelmesii
958,Carex_nubigena
959,Carex_oligostachya
960,Carex_petelotii
961,Carex_phacota
962,Carex_pruinosa
963,Carex_satsumensis
964,Carex_stramentitia
965,Carex_thomsonii
966,Carex_trichophylla
967,Carex_vietnamica
968,Careya_arborea
969,Caria_papaya
970,Carissa_cochinchinensis
971,Carmona_microphylla
972,Carpesium_cernuum
973,Carpesium_nepalensis
974,Carpinus_pubescens
975,Carthamus_tinctorius
976,Carya_sinensis
977,Caryodaphnopsis_baviensis
978,Caryodaphnopsis_metallica
979,Caryodaphnopsis_tonkinensis
980,Caryota_mitis
981,Caryota_rumphiana
982,Caryota_urens
983,Casearia_flavovirens
984,Casearia_glomelata
985,Casearia_grewiaefolia
986,Casearia_tardieuae
987,Casearia_virescens
988,Cassia_agnes
989,Cassia_angustifolia
990,Cassia_grandis
991,Cassine_glauca
992,Cassytha_filiformis
993,Castanopsis_annamensis
994,Castanopsis_arietina
995,Castanopsis_boisii
996,Castanopsis_ceratacantha
997,Castanopsis_chevalieri
998,Castanopsis_choboensis
999,Castanopsis_crassifolia
1000,Castanopsis_echidnocarpa
1001,Castanopsis_fargesii
1002,Castanopsis_guinieri
1003,Castanopsis_indica
1004,Castanopsis_lamontii
1005,Castanopsis_longipetiolata
1006,Castanopsis_nhatrangensis
1007,Castanopsis_ouonbiensis
1008,Castanopsis_phuthoensis
1009,Castanopsis_piriformis
1010,Castanopsis_rufotomentosa
1011,Castanopsis_symmetricupulata
1012,Castanopsis_tonkinensis
1013,Castanopsis_tribuloides
1014,Casuarian_cunninghamiana
1015,Casuarina_junghuniana
1016,Catasetum_tenebrosum
1017,Caulokaempferia_petelotii
1018,Cayratia_cannabina
1019,Cayratia_cheniana
1020,Cayratia_corniculata
1021,Cayratia_hayatae
1022,Cayratia_mollissima
1023,Cayratia_palmata
1024,Cayratia_roxburghii
1025,Cayratia_wrayi
1026,Ceiba_pentandra
1027,Celastrus_gemnatus
1028,Celastrus_hookeri
1029,Celastrus_orbiculatus
1030,Celastrus_stylosus
1031,Celtis_japonica
1032,Celtis_sinensis
1033,Celtis_timorensis
1034,Cenchrus_ciliaris
1035,Cenchrus_setigerus
1036,Centaurea_cyanus
1037,Centella_asiatica
1038,Centosteca_uniflora
1039,Centranthera_tranquebarica
1040,Centrolepis_banksii
1041,Centrosema_pubescens
1042,Cephalanthera_exigua
1043,Cephalantheropsis_longipes
1044,Cephalanthus_angustifolius
1045,Cephalomanes_javanicum
1046,Cephalostachyum_langbianense
1047,Cephalotaxus_mannii
1048,Ceratopteris_thalictroides
1049,Ceratostylis_radiata
1050,Ceratostylis_subulata
1051,Cerbera_manghas
1052,Ceropegia_driophila
1053,Cestrum_nocturnum
1054,Chamabainia_cuspidata
1055,Chamaecrista_leschenaultiana
1056,Chamaecrista_pumila
1057,Chamaedorea_seifrizii
1058,Champereia_manillana
1059,Cheilanthes_farinosa
1060,Cheilanthes_velutina
1061,Cheiropleuria_bicuspis
1062,Cheirostylis_chinensis
1063,Cheirostylis_filipetala
1064,Cheirostylis_latipetala
1065,Cheirostylis_spathulata
1066,Cheirostylis_thanmoiensis
1067,Chenopodium_acuminatum
1068,Chenopodium_botrys
1069,Chenopodium_hybridum
1070,Chiloschista_exuperei
1071,Chiloschista_parishii
1072,Chimonobambusa_fansipanensis
1073,Chimonobambusa_quadrangularis
1074,Chionographis_chinensis
1075,Chirita_aratriformis
1076,Chirita_colaniae
1077,Chirita_cycnostyla
1078,Chirita_eberhardtii
1079,Chirita_halongensis
1080,Chirita_hiepii
1081,Chirita_lavandulacea
1082,Chirita_minutihamata
1083,Chirita_poilanei
1084,Chirita_semicontorta
1085,Chirita_swinglei
1086,Chisocheton_cumingianus
1087,Chloranthus_spicatus
1088,Chlorophytum_bichetii
1089,Chlorophytum_laxum
1090,Choerospondias_axillaris
1091,Christella_parasitica
1092,Christia_constricta
1093,Christia_lychnucha
1094,Christia_pierrei
1095,Christisonia_hookeri
1096,Chroesthes_lanceolata
1097,Chrysanthemum_coronarium
1098,Chrysanthemum_maximum
1099,Chrysanthemum_vestitum
1100,Chrysoglossum_ornatum
1101,Chrysophyllum_lanceolatum
1102,Chrysopogon_crevostii
1103,Chrysopogon_orientalis
1104,Chukrasia_tabularis
1105,Chuniophoenix_nana
1106,Cichorium_instybus
1107,Cinnamomum_bejolghota
1108,Cinnamomum_burmanii
1109,Cinnamomum_camphora
1110,Cinnamomum_cassia
1111,Cinnamomum_curvifolium
1112,Cinnamomum_gaudichaudii
1113,Cinnamomum_impressineurium
1114,Cinnamomum_iners
1115,Cinnamomum_kunstleri
1116,Cinnamomum_longepetiolatum
1117,Cinnamomum_loureirii
1118,Cinnamomum_ovatum
1119,Cinnamomum_polyadelphum
1120,Cinnamomum_scortechinii
1121,Cinnamomum_subavenicum
1122,Cinnamomum_subsericeum
1123,Cinnamomum_tenuipilis
1124,Cinnamomum_tonkinense
1125,Cinnamomum_verum
1126,Cipadessa_baccifera
1127,Circaea_mollis
1128,Cirrhopetalum_andersonii
1129,Cirrhopetalum_frostii
1130,Cirrhopetalum_guttulatum
1131,Cirrhopetalum_macraei
1132,Cirrhopetalum_mastersianum
1133,Cirrhopetalum_miniatum
1134,Cirrhopetalum_papillosum
1135,Cirrhopetalum_pumilio
1136,Cirrhopetalum_taeniophyllum
1137,Cirsium_japonicum
1138,Cirsium_lineare
1139,Cissampelos_pareira
1140,Cissus_annamica
1141,Cissus_bachmaensis
1142,Cissus_hastata
1143,Cissus_javana
1144,Cissus_repens
1145,Cissus_subtetragona
1146,Citharexylum_spinosum
1147,Cladium_mariscus
1148,Cladogynos_orientalis
1149,Cladopus_pierrei
1150,Claoxylon_indicum
1151,Clegohornia_malaccensis
1152,Cleidiocarpon_laurinum
1153,Cleidion_brevipetiolatum
1154,Cleidion_taynguyenensis
1155,Cleisomeria_lanatum
1156,Cleisostoma_arietinum
1157,Cleisostoma_aspersum
1158,Cleisostoma_chantaburiense
1159,Cleisostoma_crochetii
1160,Cleisostoma_equestre
1161,Cleisostoma_fuerstenbergianum
1162,Cleisostoma_lecongkietii
1163,Cleisostoma_linearilobatum
1164,Cleisostoma_phitamii
1165,Cleisostoma_recurvum
1166,Cleisostoma_scortechinii
1167,Cleisostoma_striatum
1168,Cleisostoma_tricornutum
1169,Cleisostomopsis_eberhardtii
1170,Cleistanthus_concinnus
1171,Cleistanthus_hirsutulus
1172,Cleistanthus_javanica
1173,Cleistanthus_petelotii
1174,Cleistanthus_tomentosus
1175,Cleistocalyx_nervosum
1176,Cleome_chelidonii
1177,Cleome_speciosa
1178,Cleome_viscosa
1179,Clerodendrum_calamitosum
1180,Clerodendrum_chinense
1181,Clerodendrum_cochinchinense
1182,Clerodendrum_cyrtophyllum
1183,Clerodendrum_garrettianum
1184,Clerodendrum_godefroyi
1185,Clerodendrum_indicum
1186,Clerodendrum_intermedium
1187,Clerodendrum_lanessanii
1188,Clerodendrum_lindleyi
1189,Clerodendrum_longisepalum
1190,Clerodendrum_mandarinorum
1191,Clerodendrum_palmatolobatum
1192,Clerodendrum_petasites
1193,Clerodendrum_serratum
1194,Clerodendrum_thomsonae
1195,Clerodendrum_villosum
1196,Clethra_chapaensis
1197,Clethra_petelotii
1198,Clianthus_scandens
1199,Clinopodium_chinense
1200,Clitoria_hanceana
1201,Clitoria_macrophylla
1202,Clitoria_ternatea
1203,Cnesmosa_javanica
1204,Cnestis_palala
1205,Coccinia_grandis
1206,Cocculus_diversifolia
1207,Cocos_nucifera
1208,Codariocalyx_motorius
1209,Codonacanthus_pauciflorus
1210,Codonopsis_javanica
1211,Coelachne_perpusilla
1212,Coelogyne_assamica
1213,Coelogyne_cristata
1214,Coelogyne_eberhardtii
1215,Coelogyne_filipeda
1216,Coelogyne_flaccida
