no,Folder(NamePlant),Giới (Kingdom),Nhánh (Clade),Không phân hạng,Bộ (Order),Họ (Family),Chi (Genus),Loài,Số lượng ảnh,Mô tả
11,Acacia_pruinescens,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Acacia,A. pruinescens,100,Acacia pruinescens là một loài thực vật có hoa trong họ Đậu. Loài này được Kurz miêu tả khoa học đầu tiên.
12,Acalypha_australis,Plantae,,"Angiospermae
Eudicots",Malpighiales,Euphorbiaceae,Acalypha,A. australis,100,"Tai tượng Úc, còn gọi là thiết hiện thái trong Đông y, tên khoa học Acalypha australis, là một loài thực vật có hoa trong họ Đại kích. Loài này được L. miêu tả khoa học đầu tiên năm 1753."
13,Acalypha_grandis,Plantae,,"Angiospermae
Eudicots",Malpighiales,Euphorbiaceae,Acalypha,A. grandis,95,Tai tượng lớn (danh pháp hai phần: Acalypha grandis) là loài thực vật có hoa trong họ Đại kích. Loài này được Benth. miêu tả khoa học đầu tiên năm 1843.
14,Acalypha_indica,Plantae,,"Angiospermae
Eudicots",Malpighiales,Euphorbiaceae,Acalypha,A. indica,98,"Tai tượng lá mác hay tai tượng xanh, tai tượng Ấn (danh pháp hai phần: Acalypha indica) là loài thực vật có hoa trong họ Đại kích. Loài này được L. miêu tả khoa học đầu tiên năm 1753."
15,Acalypha_lanceolata,Plantae,,"Angiospermae
Eudicots",Malpighiales,Euphorbiaceae,Acalypha,A. lanceolata,94,Tai tượng thon hay tai tượng lá mác (danh pháp hai phần: Acalypha lanceolata) là loài thực vật có hoa trong họ Đại kích. Loài này được Willd. miêu tả khoa học đầu tiên năm 1805.
16,Acalypha_tricolor,,,,,,,,98,"Sự tuyệt chủng là một phần tự nhiên trong lịch sử tiến hóa của hành tinh. 99% trong số bốn tỷ loài tiến hóa trên Trái đất hiện đã biến mất. Hầu hết các loài đã tuyệt chủng. Nhưng khi mọi người đặt câu hỏi có bao nhiêu loài đã tuyệt chủng, họ thường nói về số lượng loài tuyệt chủng trong lịch sử gần đây. Các loài đã tuyệt chủng với lý do chủ yếu là do áp lực của con người.
Sách đỏ của IUCN đã ước tính số lượng tuyệt chủng trong 5 thế kỷ qua.  Người ta ước tính rằng 900 loài đã tuyệt chủng kể từ năm 1500, trong đó có khoảng 85 động vật có vú; 159 con chim; 35 loài lưỡng cư; và 80 loài cá."
17,Acanthopanax_gracilistylus,Plantae,,"Angiospermae
Eudicots",Apiales,Araliaceae,Eleutherococcus,E. nodiflorus,100,"Ngũ gia nhỏ hay còn gọi là ngũ gia, ngũ gia hương (danh pháp khoa học: Eleutherococcus nodiflorus) là một loài thực vật có hoa trong Họ Cuồng cuồng. Loài này được (Dunn) S.Y.Hu mô tả khoa học đầu tiên năm 1980."
18,Acanthopanax_senticosus,,,,,,,,100,"Chi Ngũ gia (danh pháp khoa học: Eleutherococcus, đồng nghĩa: Acanthopanax) là chi thực vật có hoa trong họ Araliaceae, chứa 38 loài cây bụi và cây gỗ có gai. Chúng là bản địa khu vực Đông Á, từ đông nam Siberia và Nhật Bản tới Philippines và Việt Nam. Trong số này 18 loài đến từ Trung Quốc, từ khu vực miền trung đến miền tây quốc gia này."
19,Acanthophippium_gougahense,,,,,,,,100,Acanthephippium gougahensis là một loài thực vật có hoa trong họ Lan. Loài này được (Guillaumin) Seidenf. mô tả khoa học đầu tiên năm 1975.
20,Acanthus_ebracteatus,Plantae,,"Angiospermae
Eudicots",Lamiales,Acanthaceae,Acanthus,A. ebracteatus,100,"Ô rô hoa trắng (ô rô biển hay ô rô hoa nhỏ), tên khoa học Acanthus ebracteatus, là một loài thực vật có hoa trong họ Ô rô. Loài này được Vahl miêu tả khoa học đầu tiên năm 1791."
21,Acanthus_integrifolius,,,,,,,,100,"Acanthus là một chi thực vật có hoa trong họ Acanthaceae. Chi này có khoảng 30 loài, chủ yếu là cây thân thảo (hiếm khi là cây bụi) sống lâu năm, với lá có khía răng cưa và cành hoa mang các hoa màu trắng hay ánh tía. Chiều cao trong khoảng 0,4-2,0 m."
22,Acasia_tonkinensis,,,,,,,,100,Keo Bắc Bộ (Acacia tonkinensis) là một loài thực vật có hoa trong họ Đậu. Loài này được I.C.Nielsen miêu tả khoa học đầu tiên.
23,Acer_campbellii,Plantae,,"Angiospermae
Eudicots",Sapindales,Sapindaceae,Acer,A. campbellii,100,"Thích núi cao hay còn gọi phong Campbel, phong Phanxipan (danh pháp khoa học: Acer campbellii) là một loài thực vật có hoa trong họ Bồ hòn. Loài này được Hook.f. & Thomson ex Hiern mô tả khoa học đầu tiên năm 1875."
24,Acer_fabri,Plantae,,"Angiospermae
Eudicots",Sapindales,Sapindaceae,Acer,A. fabri,100,Phong nghệ (danh pháp khoa học: Acer fabri) là một loài thực vật có hoa trong họ Bồ hòn. Loài này được Hance mô tả khoa học đầu tiên năm 1884.
25,Acer_laurinum,Plantae,,"Angiospermae
Eudicots",Sapindales,Sapindaceae,Acer,A. laurinum,100,Phong lá quế hay còn gọi thích mười nhị (danh pháp khoa học: Acer laurinum) là một loài thực vật có hoa trong họ Bồ hòn. Loài này được Hassk. mô tả khoa học đầu tiên năm 1843.
26,Acer_oblongum,Plantae,,"Angiospermae
Eudicots",Sapindales,Sapindaceae[1],Acer,A. oblongum,100,"Thích lá thuôn hay còn gọi phong tròn dài, Phong Kashmir, phong Himalaya (danh pháp khoa học: Acer oblongum) là một loài thực vật có hoa trong họ Bồ hòn. Loài này được Wall. ex DC. miêu tả khoa học đầu tiên năm 1824."
27,Acer_tonkinense,Plantae,,"Angiospermae
Eudicots",Sapindales,Sapindaceae,Acer,A. tonkinense,100,"Mang thầu dầu hay còn gọi thích Bắc bộ, tích thụ Bắc Bộ (danh pháp: Acer tonkinense) là một loài thực vật có hoa trong họ Bồ hòn. Loài này được Lecomte mô tả khoa học đầu tiên năm 1912."
28,Achillea_millefolium,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Achillea,A. millefolium,100,"Vạn diệp hay còn gọi cúc vạn diệp, cỏ thi, dương kỳ (Danh pháp khoa học: Achillea millefolium) là một loài thực vật có hoa trong họ Cúc (Asteraceae). Nó có nguồn gốc từ các vùng ôn đới Bắc bán cầu tại châu Á, châu Âu, và Bắc Mỹ. Ở New Mexico và miền nam Colorado, nó được gọi là plumajillo (tiếng Tây Ban Nha nghĩa là 'lông vũ nhỏ') do hình dạng lá của nó."
29,Achyranthes_aspera,Plantae,,"Angiospermae
Eudicots",Caryophyllales,Amaranthaceae,Achyranthes,A. aspera,100,"Cỏ xước, còn gọi là ngưu tất nam, thổ ngưu tất (danh pháp hai phần: Achyranthes aspera) là một loài thực vật thuộc họ Dền (Amaranthaceae)."
30,Aconitum_carmichaeli,Plantae,,"Angiospermae
Eudicots",Ranunculales,Ranunculaceae,Aconitum,A. carmichaelii,100,Aconitum carmichaelii là một loài thực vật có hoa trong họ Mao lương. Loài này được Siebold ex Siebold & Zucc. mô tả khoa học đầu tiên năm 1845.
31,Acorus_gramineus,Plantae,,"Angiospermae
Monocots",Acorales,Acoraceae,Acorus,A. gramineus,100,"Thạch xương bồ (danh pháp: Acorus gramineus) là một loài thực vật có hoa trong họ Xương bồ. Loài này được William Aiton miêu tả khoa học đầu tiên năm 1789.
Loài này phân bố ở Đông Á. Thân rễ chứa tinh dầu có asaron, glucosid đắng acorin.
Là cây thân thảo, sống nhiều năm. Thân rễ phân nhánh, mọc bò ngang gồm nhiều đốt. Lá hình dải hẹp, có bẹ, mọc ốp vào nhau và xòe sang hai bên ở ngọn. Cụm hoa hình bông mọc ở đầu một cán dẹt, phủ bởi một lá bắc to và dài, nom như cụm hoa mọc trên lá. Quả mọng khi chín màu đỏ nhạt. Thân rễ và lá có mùi thơm đặc biệt. 
Sông Hương được đặt tên vì có loài này mọc hai bên sông tỏa mùi thơm."
32,Acrachne_racemosa,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Acrachne,A. racemosa,95,Mần trầu tầng (danh pháp khoa học: Acrachne racemosa) là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Heyne ex Roth) Ohwi mô tả khoa học đầu tiên năm 1947.
33,Acriopsis_javanica,,,,,,,,100,"Acriopsis, là một chi lan duy nhất trong phân tông Acriopsidinae. Chi này gồm 12 loài được miêu tả bởi Carl Ludwig Blume (1789–1862) năm 1825."
34,Acroceras_zizanioides,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Acroceras,A. zizanioides,100,"Acroceras zizanioides là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Humb., Bonpl. & Kunth) Dandy mô tả khoa học đầu tiên năm 1931."
35,Acrostichum_speciosum,Plantae,,,Polypodiales,Pteridaceae,Acrostichum,A. speciosum,100,Ráng đại thanh (danh pháp khoa học:Acrostichum speciosum) là một loài thực vật có mạch trong họ Pteridaceae. Loài này được (Fée) C. Presl miêu tả khoa học đầu tiên năm 1825.
36,Actephila_anthelmithica,,,,,,,,100,Actephila anthelminthica là một loài thực vật có hoa trong họ Diệp hạ châu. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1925.
37,Actephila_excelsa,Plantae,,"Angiospermae
Eudicots",Malpighiales,Phyllanthaceae,Actephila,A. excelsa,88,Actephila excelsa là một loài thực vật có hoa trong họ Diệp hạ châu. Loài này được (Dalzell) Müll.Arg. mô tả khoa học đầu tiên năm 1863.
38,Actephila_macrantha,Plantae,,"Angiospermae
Eudicots",Malpighiales,Phyllanthaceae,Actephila,A. macrantha,87,Actephila macrantha là một loài thực vật có hoa trong họ Diệp hạ châu. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1925.
39,Actephila_pierrei,Plantae,,"Angiospermae
Eudicots",Malpighiales,Phyllanthaceae,Actephila,A. pierrei,80,Actephila pierrei là một loài thực vật có hoa trong họ Diệp hạ châu. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1924.
40,Actinidia_callosa,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Actinidiaceae,Actinidia,A. callosa,100,Actinidia callosa là một loài thực vật có hoa trong họ Dương đào. Loài này được Lindl. mô tả khoa học đầu tiên năm 1836.
41,Actinidia_latifolia,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Actinidiaceae,Actinidia,A. latifolia,100,Đào khỉ lá rộng (danh pháp khoa học: Actinidia latifolia) là một loài thực vật có hoa trong họ Dương đào. Loài này được (Gardner & Champ.) Merr. mô tả khoa học đầu tiên năm 1922.
42,Actinidia_tonkinensis,,,,,,,,100,"Dương đào, còn gọi là Đào ruột xanh hoặc theo tiếng Trung là Di hầu đào (獼猴桃) (danh pháp khoa học: Actinidia) thuộc Họ Dương đào, là một chi thực vật thân gỗ, chủ yếu là đơn tính khác gốc, bản địa của vùng khí hậu ôn đới Đông Á, có mặt phổ biến ở Trung Quốc, Đài Loan, Hàn Quốc và Nhật Bản, và kéo dài về phía bắc đến đông nam Siberi và về phía nam đến Đông Dương.
Chi này gồm các loài cây bụi cao đến 6 m cho đến các loài dây leo cao đến 30 m. Nhiều loài trong chi này cho quả ăn được: quả kiwi còn được gọi là quả dương đào."
43,Actinodaphne_ferruginea,Plantae,,"Angiospermae
Magnoliidae",Laurales,Lauraceae,Actinodaphne,A. ferruginea,100,Actinodaphne ferruginea là loài thực vật có hoa trong họ Nguyệt quế. Loài này được H.Liu miêu tả khoa học đầu tiên năm 1932.
44,Actinodaphne_obovata,Plantae,,"Angiospermae
Magnoliidae",Laurales,Lauraceae,Actinodaphne,A. obovata,100,Actinodaphne obovata là loài thực vật có hoa trong họ Nguyệt quế. Loài này được (Nees) Blume miêu tả khoa học đầu tiên năm 1851.
45,Actinodaphne_pilosa,Plantae,,"Angiospermae
Magnoliidae",Laurales,Lauraceae,Actinodaphne,A. pilosa,100,Actinodaphne pilosa là loài thực vật có hoa trong họ Nguyệt quế. Loài này được (Lour.) Merr. miêu tả khoa học đầu tiên năm 1935.
46,Actinodaphne_sesquipedalis,Plantae,,"Angiospermae
Magnoliidae",Laurales,Lauraceae,Actinodaphne,A. sesquipedalis,100,Actinodaphne sesquipedalis là loài thực vật có hoa trong họ Nguyệt quế. Loài này được Hook.f. & Thomson ex Meisn. miêu tả khoa học đầu tiên năm 1864.
47,Adansonia_digitata,Plantae,,"Angiospermae
Eudicots
Rosids",Malvales,Malvaceae,Adansonia,A. digitata,100,"Bao báp (bắt nguồn từ tiếng Pháp baobab ( hoặc )) là một chi của 8 loài cây thân gỗ có kích thước từ vừa đến lớn, trước đây được coi là thuộc họ Gạo (Bombacaceae), hiện nay được coi là thuộc phân họ Gạo (Bombacoideae), có nguồn gốc từ châu Phi (Madagascar với 6 loài, thảo nguyên nhiệt đới Đông Phi với 1 loài và Úc với 1 loài).
Vào đầu thế kỷ 21, bao báp ở miền nam châu Phi bắt đầu chết nhanh chóng từ một nguyên nhân chưa được xác định. Các nhà khoa học tin rằng không thể có khả năng bệnh hoặc sâu bệnh có thể giết chết nhiều cây rất nhanh như vậy, trong khi một số người ước tính rằng bao báp chết là kết quả của sự mất nước từ sự nóng lên toàn cầu."
48,Adenia_banaensis,Plantae,,"Angiospermae
Eudicots",Malpighiales,Passifloraceae,Adenia,A. banaensis,90,Adenia banaensis là một loài thực vật có hoa trong họ Lạc tiên. Loài này được C.Cusset mô tả khoa học đầu tiên năm 1967.
49,Adenia_heterophylla,Plantae,,"Angiospermae
Eudicots",Malpighiales,Passifloraceae,Adenia,A. heterophylla,100,Adenia heterophylla là một loài thực vật có hoa trong họ Lạc tiên. Loài này được (Blume) Koord. mô tả khoa học đầu tiên năm 1912.
50,Adenia_parviflora,,,,,,,,100,Adesmia parviflora là một loài thực vật có hoa trong họ Đậu. Loài này được Clos miêu tả khoa học đầu tiên.
51,Adenia_pierrei,Plantae,,"Angiospermae
Eudicots",Malpighiales,Passifloraceae,Adenia,A. pierrei,100,Adenia pierrei là một loài thực vật có hoa trong họ Lạc tiên. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1919.
52,Adenia_poilanei,Plantae,,"Angiospermae
Eudicots",Malpighiales,Passifloraceae,Adenia,A. poilanei,90,Adenia poilanei là một loài thực vật có hoa trong họ Lạc tiên. Loài này được C.Cusset mô tả khoa học đầu tiên năm 1967.
53,Adenia_viridiflora,Plantae,,"Angiospermae
Eudicots",Malpighiales,Passifloraceae,Adenia,A. viridiflora,100,Adenia viridiflora là một loài thực vật có hoa trong họ Lạc tiên. Loài này được Craib mô tả khoa học đầu tiên năm 1914.
54,Adenoncos_vesiculosa,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Adenoncos,A. vesiculosa,100,Adenoncos vesiculosa là một loài thực vật có hoa trong họ Lan. Loài này được Carr mô tả khoa học đầu tiên năm 1932.
55,Adenosma_annamense,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Plantaginaceae,Adenosma,A. annamense,95,Adenosma annamense là một loài thực vật có hoa trong họ Mã đề. Loài này được T.Yamaz. mô tả khoa học đầu tiên năm 1980.
56,Adenosma_caeruleum,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Plantaginaceae,Adenosma,A. glutinosum,100,"Nhân trần, các tên gọi khác: hoắc hương núi, chè nội, chè cát, tuyến hương lam (danh pháp hai phần: Adenosma glutinosum) là một loài thực vật hiện được APG II và GRIN phân loại là thuộc họ Mã đề (Plantaginaceae), mặc dù một số tài liệu vẫn còn coi nó thuộc họ Huyền sâm (Scrophulariaceae)"
57,Adenosma_hirsutum,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Plantaginaceae,Adenosma,A. hirsutum,100,Adenosma hirsutum là một loài thực vật có hoa trong họ Mã đề. Loài này được (Miq.) Kurz mô tả khoa học đầu tiên năm 1876.
58,Adenosma_javanicum,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Plantaginaceae,Adenosma,A. javanicum,100,Adenosma javanicum là một loài thực vật có hoa trong họ Mã đề. Loài này được (Blume) Merr. mô tả khoa học đầu tiên năm 1916.
59,Adenostemma_lavenia,Plantae,,"Angiospermae
Eudicots",Asterales,Asteraceae,Adenostemma,A. lavenia,98,Adenostemma lavenia là một loài thực vật có hoa trong họ Cúc. Loài này được (L.) Kuntze mô tả khoa học đầu tiên năm 1891.
60,Adiantum_annamense,,,,,,,,100,Danh sách sinh vật đặt tên theo tên gọi của Việt Nam:
61,Adiantum_capillus-veneris,Plantae,Tracheophyta,,Polypodiales,Pteridaceae,Adiantum,A. capillus-veneris,100,Adiantum capillus-veneris group là một loài thực vật có mạch trong họ Adiantaceae. Loài này được miêu tả khoa học đầu tiên.
62,Adiantum_diaphanum,Plantae,Tracheophyta,,Polypodiales,Pteridaceae,Adiantum,A. diaphanum,100,"Nguyệt xỉ suốt, tên khoa học Adiantum diaphanum, là một loài thực vật có mạch trong họ Adiantaceae. Loài này được Blume miêu tả khoa học đầu tiên năm 1828."
63,Adiantum_gravesii,Plantae,,,Pteridales,Adiantaceae,Adiantum,A. gravesii,100,Adiantum gravesii là một loài thực vật có mạch trong họ Adiantaceae. Loài này được Hance miêu tả khoa học đầu tiên năm 1875.
64,Adiantum_juxtapositum,Plantae,,,Pteridales,Adiantaceae,Adiantum,A. juxtapositum,99,Adiantum juxtapositum là một loài thực vật có mạch trong họ Adiantaceae. Loài này được Ching miêu tả khoa học đầu tiên năm 1957.
65,Adiantum_philippense,Plantae,Tracheophyta,,Polypodiales,Pteridaceae,Adiantum,A. philippense,100,Nguyệt xỉ Philippin hay còn gọi là đuôi chồn lệch (danh pháp khoa học: Adiantum philippense) là một loài thực vật có mạch trong họ Adiantaceae. Loài này được L. miêu tả khoa học đầu tiên năm 1753.
66,Adiantum_soboliferum,Plantae,,,Polypodiales,Pteridaceae,Adiantum,A. soboliferum,100,Adiantum soboliferum là một loài dương xỉ trong họ Pteridaceae. Loài này được Wall. ex Hook. mô tả khoa học đầu tiên năm 1851.
67,Adinandra_annamensis,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Pentaphylacaceae,Adinandra,A. annamensis,103,Adinandra annamensis là một loài thực vật có hoa trong họ Pentaphylacaceae. Loài này được Gagnep. ex Kobuski mô tả khoa học đầu tiên năm 1947.
68,Adinandra_caudata,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Pentaphylacaceae,Adinandra,A. caudata,103,Adinandra caudata là một loài thực vật có hoa trong họ Pentaphylacaceae. Loài này được Gagnep. ex Kobuski mô tả khoa học đầu tiên năm 1947.
69,Adinandra_glischroloma,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Pentaphylacaceae,Adinandra,A. glischroloma,103,Adinandra glischroloma là một loài thực vật có hoa trong họ Pentaphylacaceae. Loài này được Hand.-Mazz. mô tả khoa học đầu tiên năm 1923.
70,Adinandra_hainanensis,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Pentaphylacaceae,Adinandra,A. hainanensis,103,Adinandra hainanensis là một loài thực vật có hoa trong họ Pentaphylacaceae. Loài này được Hayata mô tả khoa học đầu tiên năm 1913.
71,Adinandra_integerrima,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Theaceae,Adinandra,A. integerrima,103,"Chè đuôi lươn hay sum nguyên, sum lông, sum, hồng đạm lá nguyên, ngầu nền xà (danh pháp hai phần: Adinandra integerrima) là loài thực vật thuộc họ Chè. Loài này đang bị đe dọa mất môi trường sống."
72,Adinandra_megaphylla,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Pentaphylacaceae,Adinandra,A. megaphylla,103,Adinandra megaphylla là một loài thực vật có hoa trong họ Pentaphylacaceae. Loài này được Hu mô tả khoa học đầu tiên năm 1935.
73,Adinandra_millettii,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Pentaphylacaceae,Adinandra,,103,Adinandra millettii là một loài thực vật có hoa trong họ Pentaphylacaceae. Loài này được (Hook. & Arn.) Benth. & Hook.f. ex Hance mô tả khoa học đầu tiên năm 1878.
74,Adinandra_poilanei,Plantae,,"Angiospermae
Eudicots
Asterids",Ericales,Pentaphylacaceae,Adinandra,A. poilanei,103,Adinandra poilanei là một loài thực vật có hoa trong họ Pentaphylacaceae. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1942.
75,Adina_cordifolia,,,,,,,,103,Adenia cordifolia là một loài thực vật có hoa trong họ Lạc tiên. Loài này được (Blume) Engl. mô tả khoa học đầu tiên năm 1891.
76,Adina_pilulifera,Plantae,,"Angiospermae
Eudicots",Gentianales,Rubiaceae,Adina,A. pilulifera,103,Adina pilulifera là một loài thực vật có hoa trong họ Thiến thảo. Loài này được (Lam.) Franch. ex Drake mô tả khoa học đầu tiên năm 1895.
77,Aegicera_corniculatum,,,,,,,,103,"Sú hay trú, mui biển, cát (danh pháp hai phần: Aegiceras corniculatum) là loài cây bụi hoặc cây gỗ nhỏ thuộc phân họ Xay phân bố ven biển hoặc cửa sông từ Ấn Độ qua Đông Nam Á đến Hoa Nam, New Guinea và Australia."
78,Aeginetia_indica,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Orobanchaceae,Aeginetia,A. indica,100,"Lệ dương (danh pháp hai phần: Aeginetia indica) còn gọi là dã cô hay tai đất ấn, là một loài thực vật thuộc họ Lệ dương (Orobanchaceae)."
79,Aeluropus_littoralis,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Aeluropus,A. littoralis,100,Aeluropus littoralis là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Gouan) Parl. mô tả khoa học đầu tiên năm 1850.
80,Aerides_crassifolia,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Aerides,A. crassifolia,100,Aerides crassifolia là một loài thực vật có hoa trong họ Lan. Loài này được C.S.P.Parish ex Burb. mô tả khoa học đầu tiên năm 1873.
81,Aerides_flabellata,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Vanda,V. flabellata,100,Lan giáng hương quạt (danh pháp hai phần: Vanda flabellata) là một loài lan. Loài này được (Rolfe ex Downie) Christenson miêu tả khoa học đầu tiên năm 1985.Cây có mặt tại Thái Lan và miền Bắc Việt Nam.
82,Aerides_multiflora,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Aerides,A. multiflora,100,"Lan giáng hương nhiều hoa hay giáng hương nhiều hoa, tên thường gọi là sóc lào (danh pháp hai phần: Aerides multiflora (The Multi-Flowered Aerides) là một loài lan.
Cây phân bố từ Nam Á đến Đông Nam Á, trong đó có Việt Nam."
83,Aerva_sanguinolenta,Plantae,,"Angiospermae
Eudicots",Caryophyllales,Amaranthaceae,Aerva,A. sanguinolenta,100,Aerva sanguinolenta là loài thực vật có hoa thuộc họ Dền. Loài này được (L.) Blume mô tả khoa học đầu tiên năm 1826.
84,Aeschynanthus_acuminatus,Plantae,,"Angiospermae
Eudicots",Lamiales,Gesneriaceae,Aeschynanthus,A. acuminatus,100,Aeschynanthus acuminatus là một loài thực vật có hoa trong họ Tai voi. Loài này được Wall. ex A.DC. mô tả khoa học đầu tiên năm 1845.
85,Aeschynanthus_garrettii,Plantae,,"Angiospermae
Eudicots",Lamiales,Gesneriaceae,Aeschynanthus,A. garrettii,100,Aeschynanthus garrettii là một loài thực vật có hoa trong họ Tai voi. Loài này được Craib mô tả khoa học đầu tiên năm 1913.
86,Aeschynanthus_housseusi,,,,,,,,100,Aeschynanthus hosseusii là một loài thực vật có hoa trong họ Tai voi. Loài này được Pellegr. mô tả khoa học đầu tiên năm 1925.
87,Aeschynanthus_longicaulis,Plantae,,"Angiospermae
Eudicots
Asterids",Lamiales,Gesneriaceae,Aeschynanthus,A. longicaulis,100,"Má đào thân dài (danh pháp: Aeschynanthus longicaulis) là loài thực vật thuộc họ Tai voi, bản địa Việt Nam, Thái Lan và Malaysia. Cây này cho những cụm hoa màu cam nổi bật trên nền thân cây màu xanh đậm."
88,Aeschynanthus_parviflorus,Plantae,,"Angiospermae
Eudicots",Lamiales,Gesneriaceae,Aeschynanthus,A. parviflorus,100,Aeschynanthus parviflorus là một loài thực vật có hoa trong họ Tai voi. Loài này được (D.Don) Spreng. mô tả khoa học đầu tiên năm 1827.
